Date,XLU_AUM,XLY_AUM,XLF_AUM,XLK_AUM,XLRE_AUM,XLE_AUM,XLP_AUM,XLI_AUM,XLB_AUM,XLC_AUM,XLV_AUM,Total_AUM,XLK_weight,XLF_weight,XLV_weight,XLY_weight,XLP_weight,XLE_weight,XLI_weight,XLU_weight,XLRE_weight,XLB_weight,XLC_weight
2019-09-19,11213023957.53,14622547646.94,22960065029.13,23180923958.37,3925317081.72,10635527502.37,13871319423.62,9998617672.93,4338166877.38,6285922340.79,17184351831.52,138215783322.30002,0.16771546202010304,0.1661175335930363,0.1243298805567558,0.10579506403289883,0.10035987996590816,0.07694871921804637,0.07234063601560331,0.08112694287151552,0.02839991922316647,0.03138691380320869,0.045479048699757406
2019-09-20,11126560753.79,14415549003.98,22555783137.46,22838482642.06,3912290147.04,10607866674.85,13751343111.68,9946791973.46,4279887378.83,6234903582.47,17244090603.33,136913549008.95001,0.1668095145248704,0.16474471154045925,0.12594875180836018,0.10528942612566167,0.10043814663500598,0.07747857499593824,0.0726501653449198,0.08126705380387635,0.028574893977689923,0.0312597796917106,0.045538981551507554
2019-09-23,11035481435.22,14260043874.7,22491486413.54,22479924255.89,3903747374.87,10768776639.9,13721344658.52,9902160990.27,4246192718.9,6049983194.66,17198396906.47,136057538462.94,0.16522365838636122,0.16530863829839418,0.12640532160703893,0.10480892154743943,0.10084957300809529,0.07914869518849373,0.07277921607384656,0.08110893052960749,0.028691885940104092,0.031208801561970034,0.04446635785864907
2019-09-24,11203672089.01,13982693416.33,22225765878.91,22346218058.45,3848692928.02,10674020117.63,14451928319.63,10070429122.16,4202388902.08,5980700380.04,17083786483.72,136070295695.98001,0.164225541982931,0.16334032174493632,0.12555118217638087,0.10276080716081737,0.10620928135498245,0.07844489543462752,0.07400901916653596,0.08233738327461425,0.02828459296229562,0.03088395509530853,0.04395301964657001
2019-09-25,11394155949.88,14050209463.27,22326186233.11,22465019618.86,3902460984.58,10526443891.08,13840686125.02,10091631572.26,4312808477.55,6016322908.09,16893339720.33,135819264944.03001,0.16540377852963384,0.16438158638474767,0.12438102744328357,0.10344783907540639,0.10190517619664362,0.0775033195432022,0.07430191568492642,0.08389204546627045,0.028732749998228686,0.031754026053132246,0.04429653562452482
2019-09-26,11325553139.24,14022482058.65,22384955093.93,22421343885.53,3927873847.79,10383180578.38,13741814285.74,10193221019.35,4295866706.81,5925393442.9,16665806378.18,135287490436.5,0.1657310946724518,0.1654621208635461,0.12318808135481266,0.10364950974703566,0.1015749071950596,0.0767490072059069,0.07534488951241505,0.08371471081840995,0.029033533219641097,0.03175361367817193,0.04379853173254926
2019-09-27,11373779040.7,13952595144.34,23117261496.53,22194347678.25,4006025649.3,10384934619.39,14476260823.73,10076146116.17,4224457223.5,5866336815.91,16467793016.75,136139937624.56999,0.16302598683021913,0.16980514241368277,0.12096224887485153,0.1024871568754259,0.1063336819181661,0.07628132347194323,0.07401315361225418,0.08354476459409885,0.02942579318897094,0.03103025678731901,0.0430904914330684
2019-09-30,11403280323.26,14000727254.28,22702093451.57,22405079921.62,3901982260.91,10215992893.77,14061058297.68,9810132320.25,4245101675.71,5878517060.8,16728590172.68,135352555632.53003,0.16553126623222222,0.16772563580701152,0.12359271751097639,0.10343895753465278,0.10388469011146347,0.07547691172899239,0.07247836787717274,0.08424872563336652,0.02882828656374638,0.03136329163399816,0.04343114936639721
2019-10-01,11261942755.57,13810567528.55,22084096876.54,22226891950.17,3845380572.82,9787200502.51,13970945349.25,9567730776.38,4105347231.32,5978545635.43,16657075787.69,133295724966.23001,0.1667487232302544,0.16567745801401304,0.12496331590461743,0.10360848055741365,0.10481165358295991,0.0734247141458554,0.07177822678712276,0.08448840169797772,0.02884849138105677,0.030798791426807387,0.04485174327192146
2019-10-02,11212031882.55,13536045865.27,21437713768.72,21780274720.79,3809268296.19,9304056895.11,13800886273.74,9238527763.17,3936125617.21,5728276938.35,16430577499.26,130213785520.36003,0.16726550598119636,0.1646347480264909,0.1261815516199008,0.10395247946426936,0.10598636863669181,0.07145216505248772,0.07094892239136599,0.08610479940925228,0.029253955569814753,0.030228179001788973,0.04399132484674087
